"symbol","nameEN","ALPHA","MKT","SMB","HML","RMW","CMA","R2adj"
"COCOCO","Thai Coconut Public Company Limited","0.03587","-0.56086","4.59735","7.39278","-8.10956","-14.64859","0.00409"
"COLOR","SALEE COLOUR PUBLIC COMPANY LIMITED","4e-05","0.64014","0.86578","0.14144","-0.21581","0.03471","0.0845"
"COM7","COM7 PUBLIC COMPANY LIMITED","0.00153","1.3944","0.96944","-0.36438","0.32211","-0.08542","0.25105"
"COMAN","COMANCHE INTERNATIONAL PUBLIC COMPANY LIMITED","-0.00026","1.10882","1.06839","0.40732","0.05076","0.18537","0.07574"
"COTTO","SCG CERAMICS PUBLIC COMPANY LIMITED","-0.00023","1.18111","0.98684","0.12663","-0.45876","-0.01587","0.17535"
"CPALL","CP ALL PUBLIC COMPANY LIMITED","0.00019","0.67662","-0.16365","-0.1098","0.10356","-0.1083","0.27077"
"CPANEL","CPANEL PUBLIC COMPANY LIMITED","0.00062","1.30356","1.12222","-0.28431","0.19476","0.1373","0.14723"
"CPAXT","CP AXTRA PUBLIC COMPANY LIMITED","-0.00173","1.11202","-0.64434","-0.83989","-0.70533","0.68425","0.22919"
"CPF","CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED","-6e-05","0.95024","-0.08341","-0.0426","-0.24843","-0.18459","0.27022"
"CPH","CASTLE PEAK HOLDINGS PUBLIC COMPANY LIMITED","0.00145","0.80378","0.78682","-0.06147","-0.24366","-0.19994","0.02439"
"CPI","CHUMPORN PALM OIL INDUSTRY PUBLIC COMPANY LIMITED","9e-05","0.69841","0.67767","0.19528","-0.01452","0.19479","0.0715"
"CPL","CPL GROUP PUBLIC COMPANY LIMITED","0.00039","0.80036","0.17785","-0.18683","-0.12228","-0.17989","0.04501"
"CPN","CENTRAL PATTANA PUBLIC COMPANY LIMITED","0.00024","1.17369","-0.25283","-0.16019","0.05914","-0.28043","0.42949"
"CPNCG","CPN COMMERCIAL GROWTH LEASEHOLD PROPERTY FUND","-0.00181","0.46598","0.20407","-0.12705","-0.38211","-0.63974","0.06375"
"CPNREIT","CPN RETAIL GROWTH LEASEHOLD REIT","-0.00016","0.46593","0.11409","0.0254","-0.07352","-0.04685","0.09127"
"CPR","CPR GOMU INDUSTRIAL PUBLIC COMPANY LIMITED","0.00064","1.42515","1.52262","-0.01698","-0.38967","0.08877","0.09515"
"CPT","CPT DRIVES AND POWER PUBLIC COMPANY LIMITED","-0.00054","0.95281","0.87138","0.3544","0.0672","0.21293","0.08839"
"CPTGF","C.P. TOWER GROWTH LEASEHOLD PROPERTY FUND","-0.00139","0.21945","0.20389","-0.00287","0.02291","-0.06981","0.02323"
"CPW","COPPERWIRED PUBLIC COMPANY LIMITED","-0.00023","1.79805","1.85793","0.3993","0.27389","-0.04604","0.28062"
"CRANE","CHU KAI PUBLIC COMPANY LIMITED","-0.00031","1.04469","1.05676","-0.11354","-0.16772","-0.04231","0.0931"
